"name";"lat";"lon";"kanton"
"Vergeletto";46.22706;8.60208;"TI"
"Verdasio";46.16512;8.63654;"TI"
"Verdabbio";46.26846;9.15723;"GR"
"Vercorin";46.25653;7.53104;"VS"
"Verbois";46.19433;6.02171;"GE"
"Verbier";46.1002;7.22651;"VS"
"Vendlincourt";47.4526;7.15128;"JU"
"Veltheim";47.43796;8.14722;"AG"
"Vechigen";46.94616;7.56065;"BE"
"Vaulruz";46.62164;6.9882;"FR"
"Vaulion";46.68913;6.38941;"VD"
"Vauffelin";47.18731;7.3001;"BE"
"Vauderens";46.62283;6.85066;"FR"
"Vättis";46.9097;9.44275;"SG"
"Vasön";46.95305;9.4772;"SG"
"Varen";46.3186;7.60743;"VS"
"Vanescha";46.60946;9.07581;"GR"
"Vandœuvres";46.22179;6.20285;"GE"
"Valzeina";46.9502;9.60268;"GR"
"Valtnovalp";46.96667;9.31667;"SG"
"Vals Platz";46.61647;9.18025;"GR"
"Vallorbe";46.71256;6.37894;"VD"
"Valens";46.96658;9.47705;"SG"
"Valendas";46.7878;9.28256;"GR"
"Val d\'Illiez";46.2036;6.891;"VS"
"Valchava";46.60084;10.40694;"GR"
"Valbella";46.40123;9.13131;"GR"
"Valatschalp";46.61667;9.2;"GR"
"Valatscha";46.77604;10.24298;"GR"
"Valangin";47.01606;6.90669;"NE"
"Vairano";46.13221;8.81095;"TI"
"Vacallo";45.84466;9.03335;"TI"
"Uzwil";47.43653;9.13422;"SG"
"Uznach";47.22421;8.98263;"SG"
"Utzenstorf";47.13248;7.55355;"BE"
"Uttwil";47.5844;9.34101;"TG"
"Uttigen";46.79435;7.57789;"BE"
"Uster";47.34713;8.72091;"ZH"
"Urtenen";47.02667;7.50081;"BE"
"Ursenbach";47.13696;7.77193;"BE"
"Urnerstafel";46.88333;8.45;"NW"
"Urnäsch";47.31669;9.2795;"AR"
"Urmein";46.69175;9.40082;"GR"
"Unter-Wohlen";46.97082;7.35526;"BE"
"Unterwasser";47.197;9.30856;"SG"
"Untervaz";46.9275;9.53422;"GR"
"Unterterzen";47.11278;9.25306;"SG"
"Unterstammheim";47.63921;8.79064;"ZH"
"Unter-Sohl";46.77021;7.82062;"BE"
"Untersiggenthal";47.50213;8.25554;"AG"
"Unterseen";46.6853;7.84722;"BE"
"Unter Schwendimatt";46.89205;7.7085;"BE"
"Unterschächen";46.86281;8.76923;"UR"
"Unterlunkhofen";47.3212;8.38102;"AG"
"Unter Lauchbühl";46.64242;8.08401;"BE"
"Unter-Laret";46.84221;9.86914;"GR"
"Unterkulm";47.30998;8.11371;"AG"
"Unteriberg";47.06258;8.8052;"SZ"
"Unter-Gomerkinden";46.98822;7.64869;"BE"
"Untererlinsbach";47.4;8;"SO"
"Unterengstringen";47.41396;8.44761;"ZH"
"Unter Eiger";46.61764;8.01145;"BE"
"Ehrendingen";47.5025;8.34729;"AG"
"Unter dem Birg";46.45928;7.56629;"BE"
"Unter-Buch";47.55341;8.61971;"ZH"
"Unterbazenheid";47.4183;9.06409;"SG"
"Unterbächen";46.45072;7.62084;"BE"
"Unterbach";46.73739;8.11006;"BE"
"Unterbäch";46.2843;7.79918;"VS"
"Unterägeri";47.13645;8.5853;"ZG"
"Undervelier";47.30261;7.22472;"JU"
"Ulrichen";46.50536;8.30959;"VS"
"Uitikon";47.36911;8.45699;"ZH"
"Uina Dadora";46.7906;10.38563;"GR"
"Uhwiesen";47.67074;8.63542;"ZH"
